date,call_vol,put_vol,vol_pcr,call_oi,put_oi,oi_pcr
2023-01-03,222216,206711,0.9302,252922,241915,0.9565
2023-01-04,179156,148445,0.8286,269494,256357,0.9513
2023-01-05,364645,273248,0.7494,231865,264957,1.1427
2023-01-06,392752,290769,0.7403,223383,288031,1.2894
2023-01-09,337622,289047,0.8561,218881,293874,1.3426
2023-01-10,280927,251762,0.8962,219079,333803,1.5237
2023-01-11,266535,246961,0.9266,236639,328939,1.39
2023-01-12,269083,220174,0.8181999999999999,240214,342953,1.4277000000000002
2023-01-13,287355,299590,1.0426,229677,340296,1.4816
2023-01-16,577898,445143,0.7703,216742,331554,1.5297
2023-01-17,323829,234664,0.7247,226868,333223,1.4688
2023-01-18,261382,213851,0.8181999999999999,247596,324830,1.3119
2023-01-19,324215,243915,0.7523000000000001,218452,292877,1.3407
2023-01-20,348216,269322,0.7734000000000001,239901,294390,1.2271
2023-01-30,436991,298016,0.682,209884,201144,0.9584
2023-01-31,226963,198600,0.875,232783,219896,0.9446
2023-02-01,285368,214589,0.752,256437,242754,0.9466
2023-02-02,310834,221540,0.7127,268155,264575,0.9866
2023-02-03,299821,327031,1.0908,287696,264275,0.9186
2023-02-06,266302,265035,0.9952,318965,258469,0.8103
2023-02-07,218893,196268,0.8966,316485,262320,0.8289
2023-02-08,236554,213883,0.9042,324921,267468,0.8231999999999999
2023-02-09,308906,271414,0.8786,316650,282037,0.8906999999999999
2023-02-10,260872,224763,0.8615999999999999,327661,277629,0.8473
2023-02-13,331247,278460,0.8406,321134,291382,0.9074
2023-02-14,203319,187652,0.9229,319791,287472,0.8989
2023-02-15,230171,205586,0.8931999999999999,329555,288249,0.8747
2023-02-16,371060,377740,1.018,336315,271661,0.8078
2023-02-17,442169,509743,1.1528,376673,270533,0.7182
2023-02-20,479742,434971,0.9067,361058,272985,0.7561
2023-02-21,328152,333560,1.0165,386186,284275,0.7361
2023-02-22,259033,292424,1.1289,263425,237337,0.901
2023-02-23,278564,261691,0.9394,307503,259155,0.8428
2023-02-24,261718,239461,0.915,354602,272806,0.7693000000000001
2023-02-27,271939,284367,1.0457,395370,287319,0.7267
2023-02-28,313603,252653,0.8056,417947,300876,0.7199
2023-03-01,379769,269147,0.7087,429562,312917,0.7284999999999999
2023-03-02,261639,220543,0.8429000000000001,475038,326698,0.6877
2023-03-03,273757,233487,0.8529000000000001,484281,336927,0.6957
2023-03-06,379419,280159,0.7384000000000001,512075,352418,0.6881999999999999
2023-03-07,461537,344683,0.7468,553676,361342,0.6526000000000001
2023-03-08,390986,316630,0.8098000000000001,590138,366391,0.6209
2023-03-09,387720,262775,0.6777,627624,380458,0.6062
2023-03-10,526216,380209,0.7225,648103,382338,0.5899
2023-03-13,487615,361587,0.7415,703786,401321,0.5702
2023-03-14,660530,506308,0.7665000000000001,740943,398729,0.5381
